***Starting server on port 54627 ***
Loading net-file from 'scenario/lust/lust.net.xml' ... done (963ms).
Loading additional-files from 'scenario/lust/vtypes.add.xml' ... done (5ms).
Loading additional-files from 'scenario/lust/busstops.add.xml' ... done (10ms).
Loading additional-files from 'scenario/lust/e1detectors.add.xml' ... done (95ms).
Loading additional-files from 'scenario/lust/lust.poly.xml' ... done (387ms).
Loading additional-files from 'scenario/lust/tll.static.xml' ... done (16ms).
Loading done.
Simulation version 1.4.0 started with time: 0.00
Warning: Vehicle 'carIn13424:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18467.00.
Warning: Vehicle '5BEtoLU.20' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18504.00.
Warning: Vehicle 'h38384c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18541.00.
Warning: Vehicle '5BEtoLU.21' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18547.00.
Warning: Vehicle 'carIn15188:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18703.00.
Warning: Vehicle 'carIn48264:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18725.00.
Warning: Vehicle 'carIn42278:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18884.00.
Warning: Vehicle 'carIn42956:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=18917.00.
Warning: Vehicle '5BEtoLU.53' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19010.00.
Warning: Vehicle 'h54072c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19122.00.
Warning: Vehicle 'carIn27253:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19127.00.
Warning: Vehicle 'randUni11334:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19234.00.
Warning: Vehicle 'randUni3066:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19285.00.
Warning: Vehicle '5BEtoLU.68' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19317.00.
Warning: Vehicle 'carIn37658:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19341.00.
Warning: Vehicle 'carIn33984:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19351.00.
Warning: Vehicle 'carIn45102:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19389.00.
Warning: Vehicle 'carIn19537:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19392.00.
Warning: Vehicle 'carIn26718:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19435.00.
Warning: Vehicle 'carIn4878:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19446.00.
Warning: Vehicle 'h48377c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19509.00.
Warning: Vehicle 'carIn27296:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19595.00.
Warning: Vehicle '5BEtoLU.95' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19604.00.
Warning: Vehicle '5BEtoLU.97' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19630.00.
Warning: Vehicle '5BEtoLU.98' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19636.00.
Warning: Vehicle 'carIn32550:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19646.00.
Warning: Vehicle 'h59703c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19654.00.
Warning: Vehicle '5BEtoLU.99' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19664.00.
Warning: Vehicle 'h69722c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19716.00.
